date,usage,dollars,type
12:00AM 18 August 2025,4.06 kWh,$0.74,actual
01:00AM 18 August 2025,4.05 kWh,$0.74,actual
02:00AM 18 August 2025,4.09 kWh,$0.74,actual
03:00AM 18 August 2025,3.33 kWh,$0.62,actual
04:00AM 18 August 2025,1.26 kWh,$0.27,actual
05:00AM 18 August 2025,1.36 kWh,$0.28,actual
06:00AM 18 August 2025,1.89 kWh,$0.37,actual
07:00AM 18 August 2025,2.64 kWh,$0.76,actual
08:00AM 18 August 2025,1.95 kWh,$0.58,actual
09:00AM 18 August 2025,0.34 kWh,$0.15,actual
10:00AM 18 August 2025,0.58 kWh,$0.21,actual
11:00AM 18 August 2025,1.54 kWh,$0.47,actual
12:00PM 18 August 2025,2.07 kWh,$0.61,actual
01:00PM 18 August 2025,1.59 kWh,$0.48,actual
02:00PM 18 August 2025,0.57 kWh,$0.21,actual
03:00PM 18 August 2025,0.86 kWh,$0.29,actual
04:00PM 18 August 2025,1.16 kWh,$0.37,actual
05:00PM 18 August 2025,4.39 kWh,$1.23,actual
06:00PM 18 August 2025,3.80 kWh,$1.08,actual
07:00PM 18 August 2025,3.48 kWh,$0.99,actual
08:00PM 18 August 2025,3.87 kWh,$1.09,actual
09:00PM 18 August 2025,4.31 kWh,$0.78,actual
10:00PM 18 August 2025,3.31 kWh,$0.61,actual
11:00PM 18 August 2025,2.76 kWh,$0.52,actual
12:00AM 19 August 2025,3.98 kWh,$0.72,actual
01:00AM 19 August 2025,4.05 kWh,$0.74,actual
02:00AM 19 August 2025,4.03 kWh,$0.73,actual
03:00AM 19 August 2025,2.77 kWh,$0.52,actual
04:00AM 19 August 2025,1.37 kWh,$0.29,actual
05:00AM 19 August 2025,1.25 kWh,$0.27,actual
06:00AM 19 August 2025,1.79 kWh,$0.36,actual
07:00AM 19 August 2025,2.28 kWh,$0.67,actual
08:00AM 19 August 2025,1.72 kWh,$0.52,actual
09:00AM 19 August 2025,0.49 kWh,$0.19,actual
10:00AM 19 August 2025,1.87 kWh,$0.56,actual
11:00AM 19 August 2025,1.49 kWh,$0.46,actual
12:00PM 19 August 2025,2.27 kWh,$0.66,actual
01:00PM 19 August 2025,2.95 kWh,$0.85,actual
02:00PM 19 August 2025,2.19 kWh,$0.64,actual
03:00PM 19 August 2025,1.41 kWh,$0.43,actual
04:00PM 19 August 2025,1.63 kWh,$0.49,actual
05:00PM 19 August 2025,3.58 kWh,$1.02,actual
06:00PM 19 August 2025,3.92 kWh,$1.11,actual
07:00PM 19 August 2025,2.57 kWh,$0.74,actual
08:00PM 19 August 2025,2.98 kWh,$0.86,actual
09:00PM 19 August 2025,4.80 kWh,$0.86,actual
10:00PM 19 August 2025,3.04 kWh,$0.57,actual
11:00PM 19 August 2025,3.99 kWh,$0.73,actual
12:00AM 20 August 2025,4.36 kWh,$0.79,actual
01:00AM 20 August 2025,4.34 kWh,$0.79,actual
02:00AM 20 August 2025,2.38 kWh,$0.46,actual
03:00AM 20 August 2025,1.50 kWh,$0.31,actual
04:00AM 20 August 2025,1.50 kWh,$0.31,actual
05:00AM 20 August 2025,1.44 kWh,$0.30,actual
06:00AM 20 August 2025,1.30 kWh,$0.27,actual
07:00AM 20 August 2025,1.83 kWh,$0.55,actual
08:00AM 20 August 2025,1.84 kWh,$0.55,actual
09:00AM 20 August 2025,1.88 kWh,$0.56,actual
10:00AM 20 August 2025,1.99 kWh,$0.59,actual
11:00AM 20 August 2025,1.46 kWh,$0.45,actual
12:00PM 20 August 2025,0.29 kWh,$0.13,actual
01:00PM 20 August 2025,0.89 kWh,$0.29,actual
02:00PM 20 August 2025,2.05 kWh,$0.61,actual
03:00PM 20 August 2025,1.16 kWh,$0.37,actual
04:00PM 20 August 2025,1.81 kWh,$0.54,actual
05:00PM 20 August 2025,3.05 kWh,$0.87,actual
06:00PM 20 August 2025,3.95 kWh,$1.11,actual
07:00PM 20 August 2025,2.05 kWh,$0.61,actual
08:00PM 20 August 2025,1.50 kWh,$0.46,actual
09:00PM 20 August 2025,3.47 kWh,$0.64,actual
10:00PM 20 August 2025,2.74 kWh,$0.52,actual
11:00PM 20 August 2025,2.97 kWh,$0.56,actual
12:00AM 21 August 2025,4.06 kWh,$0.74,actual
01:00AM 21 August 2025,4.03 kWh,$0.73,actual
02:00AM 21 August 2025,4.00 kWh,$0.73,actual
03:00AM 21 August 2025,4.01 kWh,$0.73,actual
04:00AM 21 August 2025,4.13 kWh,$0.75,actual
05:00AM 21 August 2025,2.11 kWh,$0.41,actual
06:00AM 21 August 2025,2.60 kWh,$0.49,actual
07:00AM 21 August 2025,1.94 kWh,$0.57,actual
08:00AM 21 August 2025,1.81 kWh,$0.54,actual
09:00AM 21 August 2025,2.02 kWh,$0.60,actual
10:00AM 21 August 2025,1.51 kWh,$0.46,actual
11:00AM 21 August 2025,1.84 kWh,$0.55,actual
